Rank,TICK,TICK_LON,Company,Market,Volyme,Market Cam,marketcap,PRICE,VOLUME,volumeavg,high52,change,IF VOL > 5XAVG -> TRUE,IF VOL > 10XAVG -> TRUE
81,LAND,LON:LAND,Land Securities Group,FTSE 100,648.50,"4,830.6",5001936350,671,345500,3363709,"17,48","0,07",FALSE,FALSE
82,DPLM,LON:DPLM,Diploma,FTSE 100,"3,564.00","4,779.0",5470949520,4086,158094,274432,4340,22,FALSE,FALSE
83,MNG,LON:MNG,M&G,FTSE 100,201.50,"4,774.1",4923648636,"206,84",2472253,9089916,"60,4","0,21",FALSE,FALSE
85,KGF,LON:KGF,Kingfisher,FTSE 100,249.30,"4,673.3",5027386553,"268,9",2909922,5703156,274,"3,6",FALSE,FALSE
86,IMI,LON:IMI,IMI,FTSE 100,"1,723.00","4,505.1",4912959293,1875,110949,698933,1899,10,FALSE,FALSE
87,BEZ,LON:BEZ,Beazley,FTSE 100,668.00,"4,492.6",4420997347,"667,5",714427,1980007,"699,5","-1,5",FALSE,FALSE
88,BDEV,LON:BDEV,Barratt Developments,FTSE 100,457.10,"4,454.9",4860291420,499,1304953,4629558,"582,6","5,7",FALSE,FALSE
89,FRES,LON:FRES,Fresnillo,FTSE 100,578.50,"4,262.9",4246711656,579,319390,1848644,6,"0,02",FALSE,FALSE
90,PSN,LON:PSN,Persimmon,FTSE 100,"1,334.50","4,262.7",4535543107,1417,299921,1056327,"85,44","-0,45",FALSE,FALSE
91,HSX,LON:HSX,Hiscox Ltd,FTSE 250,"1,215.00","4,225.3",3990987770,1166,207855,913565,"1277,85",-1,FALSE,FALSE
92,RMV,LON:RMV,Rightmove,FTSE 100,522.20,"4,186.7",4328622769,547,618056,2728627,603,"10,4",FALSE,FALSE
93,BRBY,LON:BRBY,Burberry Group,FTSE 100,"1,164.50","4,175.3",4270730676,1197,606266,1120843,2555,"27,49",FALSE,FALSE
94,AAF,LON:AAF,Airtel Africa,FTSE 100,109.80,"4,126.5",4435194965,"118,8",2705636,2776827,"135,8","0,9",FALSE,FALSE
95,EDV,LON:EDV,Endeavour Mining,FTSE 250,"1,680.00","4,119.0",1381040470,1719,151691,473403,88,"0,11",FALSE,FALSE
96,EZJ,LON:EZJ,easyJet,FTSE 100,545.00,"4,104.4",3988649238,"525,2",4907693,5154710,"45,02",0,FALSE,FALSE
97,UTG,LON:UTG,UNITE Group,FTSE 100,932.50,"4,064.4",4161424906,"954,75",329751,900749,"28,63","-0,12",FALSE,FALSE
98,LMP,LON:LMP,Londonmetric Property,FTSE 250,197.80,"4,028.2",4162754640,"203,93",5044599,5374637,207,"1,6",FALSE,FALSE
99,HIK,LON:HIK,Hikma Pharmaceuticals,FTSE 100,"1,819.00","4,021.5",4429070646,2004,52783,322099,2222,-8,FALSE,FALSE
100,VTY,LON:VTY,Vistry Group,FTSE 250,"1,162.00","3,958.7",4246013801,1249,755778,937325,1383,-9,FALSE,FALSE
101,BLND,LON:BLND,British Land Co,FTSE 250,393.00,"3,644.7",3742615704,"403,51",721776,2686595,"3,41","0,05",FALSE,FALSE
102,FRAS,LON:FRAS,Frasers Group,FTSE 100,803.50,"3,639.4",3735370390,830,179847,309155,"949,5","11,5",FALSE,FALSE
104,PCT,LON:PCT,Polar Capital Technology Trust,FTSE 250,"2,870.00","3,490.4",3606577988,"2987,75",114996,200546,"11,89","0,73",FALSE,FALSE
105,ATST,LON:ATST,Alliance Trust,FTSE 250,"1,224.00","3,475.7",3565709373,"1255,69",170822,339386,1260,"5,96",FALSE,FALSE
106,DARK,LON:DARK,Darktrace,FTSE 250,490.00,"3,431.5",4159432690,"596,2",517887,4038153,"625,94",1,FALSE,FALSE
107,RS1,LON:RS1,RS Group,FTSE 100,714.00,"3,384.2",3860919000,"820,5",874823,1215515,"1134,91",8,FALSE,FALSE
108,INVP,LON:INVP,Investec,FTSE 250,510.00,"3,290.3",5154185138,552,335359,546325,555,-1,FALSE,FALSE
109,SXS,LON:SXS,Spectris,FTSE 250,"3,256.00","3,286.8",3342523316,3322,35575,229333,"3883,85",26,FALSE,FALSE
110,JMAT,LON:JMAT,Johnson Matthey,FTSE 250,"1,785.00","3,274.6",3414067774,1861,95261,405767,"1956,8",10,FALSE,FALSE
111,UKW,LON:UKW,Greencoat UK Wind,FTSE 250,141.60,"3,263.2",3301880649,"144,2",1796433,3115733,"159,1","0,2",FALSE,FALSE
112,GAW,LON:GAW,Games Workshop Group,FTSE 250,"9,755.00","3,214.3",3295179000,10010,7447,37802,11850,-30,FALSE,FALSE
113,SCT,LON:SCT,Softcat,FTSE 250,"1,600.00","3,195.8",3229960734,1617,83575,229483,1656,28,FALSE,FALSE
,JET2,LON:JET2,Jet2,FTSE AIM,"1,488.00","3,194.5",2941133810,1370,176960,602983,1568,-8,FALSE,FALSE
114,OCDO,LON:OCDO,Ocado Group,FTSE 100,377.80,"3,091.0",3063807244,369,5975326,3721406,1017,24,FALSE,FALSE
115,3IN,LON:3IN,3i Infrastructure Ltd,FTSE 250,328.00,"3,025.3",3082936297,"334,25",591502,767470,"348,5",-4,FALSE,FALSE
116,BWY,LON:BWY,Bellway,FTSE 250,"2,528.00","3,019.6",3240806252,2726,45059,228375,2898,30,FALSE,FALSE
118,INCH,LON:INCH,Inchcape,FTSE 250,726.00,"2,998.4",3366007865,815,171730,799375,"892,5",34,FALSE,FALSE
119,RSW,LON:RSW,Renishaw,FTSE 250,"4,100.00","2,984.3",2940657420,4040,6446,68051,4500,30,FALSE,FALSE
120,EMG,LON:EMG,Man Group,FTSE 250,247.60,"2,977.6",3044489050,255,1874052,2721892,"279,23","2,4",FALSE,FALSE
121,CCC,LON:CCC,Computacenter,FTSE 250,"2,574.00","2,938.0",3097789454,"2706,33",64445,118901,"0,21",0,FALSE,FALSE
122,ITV,LON:ITV,ITV,FTSE 250,70.75,"2,867.1",3153774883,"78,89",3113000,8417134,"79,15","1,9",FALSE,FALSE
123,BBOX,LON:BBOX,Tritax Big Box REIT,FTSE 250,150.60,"2,867.0",3042173382,"159,6",1399951,4440262,173,"1,2",FALSE,FALSE
124,GRG,LON:GRG,Greggs,FTSE 250,"2,802.00","2,841.6",2852931240,"2790,04",79845,137023,"0,13",0,FALSE,FALSE
125,VMUK,LON:VMUK,Virgin Money UK,FTSE 250,214.40,"2,781.2",2784821895,"214,8",1147112,2306517,"218,8","-0,2",FALSE,FALSE
126,IGG,LON:IGG,IG Group Holdings,FTSE 250,736.00,"2,774.7",2925863505,"783,97",240817,878097,800,2,FALSE,FALSE
127,RCP,LON:RCP,RIT Capital Partners,FTSE 250,"1,872.00","2,746.2",2830342061,"1936,84",120165,263384,2030,"-13,16",FALSE,FALSE
128,ROR,LON:ROR,Rotork,FTSE 250,316.00,"2,721.5",2904139272,"338,2",321497,1242696,"344,8","-0,8",FALSE,FALSE
,BUR,LON:BUR,Burford Capital Ltd,FTSE AIM,"1,227.00","2,682.0",2486918058,1136,253400,197132,"17,7","-0,19",FALSE,FALSE
129,IDS,LON:IDS,International Distributions Services,FTSE 250,279.60,"2,679.4",2654472995,"277,28",695140,1894492,"295,2","-6,8",FALSE,FALSE
130,SHC,LON:SHC,Shaftesbury Capital,FTSE 250,134.90,"2,634.8",2716860000,140,470315,3484978,"19,4","0,23",FALSE,FALSE
131,BAB,LON:BAB,Babcock International Group,FTSE 250,512.50,"2,591.2",2651854167,"525,5",1633198,988607,"27,33","0,07",FALSE,FALSE
132,TATE,LON:TATE,Tate & Lyle,FTSE 250,645.00,"2,590.8",2705475093,"672,5",135911,1031450,827,"-7,5",FALSE,FALSE
